-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  50.5   Longitude -4.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2021,1,1,0,0.0
2021,1,1,1,0.0
2021,1,1,2,0.0
2021,1,1,3,0.0
2021,1,1,4,0.0
2021,1,1,5,0.0
2021,1,1,6,0.0
2021,1,1,7,0.0
2021,1,1,8,7.13
2021,1,1,9,55.68
2021,1,1,10,106.98
2021,1,1,11,140.72
2021,1,1,12,139.66
2021,1,1,13,144.39
2021,1,1,14,106.77
2021,1,1,15,50.3
2021,1,1,16,0.0
2021,1,1,17,0.0
2021,1,1,18,0.0
2021,1,1,19,0.0
2021,1,1,20,0.0
2021,1,1,21,0.0
2021,1,1,22,0.0
2021,1,1,23,0.0
2021,1,2,0,0.0
2021,1,2,1,0.0
2021,1,2,2,0.0
2021,1,2,3,0.0
2021,1,2,4,0.0
2021,1,2,5,0.0
2021,1,2,6,0.0
2021,1,2,7,0.0
2021,1,2,8,7.34
2021,1,2,9,41.73
2021,1,2,10,99.55
2021,1,2,11,131.46
2021,1,2,12,135.32
2021,1,2,13,110.24
2021,1,2,14,89.29
2021,1,2,15,39.18
2021,1,2,16,0.0
2021,1,2,17,0.0
2021,1,2,18,0.0
2021,1,2,19,0.0
2021,1,2,20,0.0
2021,1,2,21,0.0
2021,1,2,22,0.0
2021,1,2,23,0.0
2021,1,3,0,0.0
2021,1,3,1,0.0
2021,1,3,2,0.0
2021,1,3,3,0.0
2021,1,3,4,0.0
2021,1,3,5,0.0
2021,1,3,6,0.0
2021,1,3,7,0.0
2021,1,3,8,7.3
2021,1,3,9,56.98
2021,1,3,10,103.45
2021,1,3,11,131.95
2021,1,3,12,151.54
2021,1,3,13,133.92
2021,1,3,14,98.61
2021,1,3,15,45.4
2021,1,3,16,7.27
2021,1,3,17,0.0
2021,1,3,18,0.0
2021,1,3,19,0.0
2021,1,3,20,0.0
2021,1,3,21,0.0
2021,1,3,22,0.0
2021,1,3,23,0.0
2021,1,4,0,0.0
2021,1,4,1,0.0
2021,1,4,2,0.0
2021,1,4,3,0.0
2021,1,4,4,0.0
2021,1,4,5,0.0
2021,1,4,6,0.0
2021,1,4,7,0.0
2021,1,4,8,7.96
2021,1,4,9,61.11
2021,1,4,10,111.33
2021,1,4,11,162.4
2021,1,4,12,146.27
2021,1,4,13,111.34
2021,1,4,14,78.53
2021,1,4,15,34.44
2021,1,4,16,6.56
2021,1,4,17,0.0
2021,1,4,18,0.0
2021,1,4,19,0.0
2021,1,4,20,0.0
2021,1,4,21,0.0
2021,1,4,22,0.0
2021,1,4,23,0.0
2021,1,5,0,0.0
2021,1,5,1,0.0
2021,1,5,2,0.0
2021,1,5,3,0.0
2021,1,5,4,0.0
2021,1,5,5,0.0
2021,1,5,6,0.0
2021,1,5,7,0.0
2021,1,5,8,8.0
2021,1,5,9,61.73
2021,1,5,10,111.78
2021,1,5,11,164.38
2021,1,5,12,189.4
2021,1,5,13,164.98
2021,1,5,14,114.74
2021,1,5,15,48.61
2021,1,5,16,6.81
2021,1,5,17,0.0
2021,1,5,18,0.0
2021,1,5,19,0.0
2021,1,5,20,0.0
2021,1,5,21,0.0
2021,1,5,22,0.0
2021,1,5,23,0.0
2021,1,6,0,0.0
2021,1,6,1,0.0
2021,1,6,2,0.0
2021,1,6,3,0.0
2021,1,6,4,0.0
2021,1,6,5,0.0
2021,1,6,6,0.0
2021,1,6,7,0.0
2021,1,6,8,7.66
2021,1,6,9,58.96
2021,1,6,10,105.29
2021,1,6,11,138.73
2021,1,6,12,169.55
2021,1,6,13,147.56
2021,1,6,14,111.3
2021,1,6,15,47.21
2021,1,6,16,6.84
2021,1,6,17,0.0
2021,1,6,18,0.0
2021,1,6,19,0.0
2021,1,6,20,0.0
2021,1,6,21,0.0
2021,1,6,22,0.0
2021,1,6,23,0.0
2021,1,7,0,0.0
2021,1,7,1,0.0
2021,1,7,2,0.0
2021,1,7,3,0.0
2021,1,7,4,0.0
2021,1,7,5,0.0
2021,1,7,6,0.0
2021,1,7,7,0.0
2021,1,7,8,8.71
2021,1,7,9,72.41
2021,1,7,10,138.59
2021,1,7,11,204.62
2021,1,7,12,225.65
2021,1,7,13,210.88
2021,1,7,14,139.29
2021,1,7,15,59.96
2021,1,7,16,7.32
2021,1,7,17,0.0
2021,1,7,18,0.0
2021,1,7,19,0.0
2021,1,7,20,0.0
2021,1,7,21,0.0
2021,1,7,22,0.0
2021,1,7,23,0.0
2021,1,8,0,0.0
2021,1,8,1,0.0
2021,1,8,2,0.0
2021,1,8,3,0.0
2021,1,8,4,0.0
2021,1,8,5,0.0
2021,1,8,6,0.0
2021,1,8,7,0.0
2021,1,8,8,7.86
2021,1,8,9,60.08
2021,1,8,10,126.79
2021,1,8,11,159.19
2021,1,8,12,194.2
2021,1,8,13,153.34
2021,1,8,14,109.02
2021,1,8,15,44.29
2021,1,8,16,7.92
2021,1,8,17,0.0
2021,1,8,18,0.0
2021,1,8,19,0.0
2021,1,8,20,0.0
2021,1,8,21,0.0
2021,1,8,22,0.0
2021,1,8,23,0.0
2021,1,9,0,0.0
2021,1,9,1,0.0
2021,1,9,2,0.0
2021,1,9,3,0.0
2021,1,9,4,0.0
2021,1,9,5,0.0
2021,1,9,6,0.0
2021,1,9,7,0.0
2021,1,9,8,8.91
2021,1,9,9,70.28
2021,1,9,10,107.17
2021,1,9,11,138.91
2021,1,9,12,149.45
2021,1,9,13,138.27
2021,1,9,14,95.06
2021,1,9,15,40.67
2021,1,9,16,9.68
2021,1,9,17,0.0
2021,1,9,18,0.0
2021,1,9,19,0.0
2021,1,9,20,0.0
2021,1,9,21,0.0
2021,1,9,22,0.0
2021,1,9,23,0.0
2021,1,10,0,0.0
2021,1,10,1,0.0
2021,1,10,2,0.0
2021,1,10,3,0.0
2021,1,10,4,0.0
2021,1,10,5,0.0
2021,1,10,6,0.0
2021,1,10,7,0.0
2021,1,10,8,10.18
2021,1,10,9,51.67
2021,1,10,10,119.18
2021,1,10,11,142.44
2021,1,10,12,162.73
2021,1,10,13,132.91
2021,1,10,14,67.65
2021,1,10,15,26.69
2021,1,10,16,9.29
2021,1,10,17,0.0
2021,1,10,18,0.0
2021,1,10,19,0.0
2021,1,10,20,0.0
2021,1,10,21,0.0
2021,1,10,22,0.0
2021,1,10,23,0.0
2021,1,11,0,0.0
2021,1,11,1,0.0
2021,1,11,2,0.0
2021,1,11,3,0.0
2021,1,11,4,0.0
2021,1,11,5,0.0
2021,1,11,6,0.0
2021,1,11,7,0.0
2021,1,11,8,10.46
2021,1,11,9,41.9
2021,1,11,10,86.72
2021,1,11,11,111.19
2021,1,11,12,142.28
2021,1,11,13,126.19
2021,1,11,14,93.98
2021,1,11,15,39.74
2021,1,11,16,10.33
2021,1,11,17,0.0
2021,1,11,18,0.0
2021,1,11,19,0.0
2021,1,11,20,0.0
2021,1,11,21,0.0
2021,1,11,22,0.0
2021,1,11,23,0.0
2021,1,12,0,0.0
2021,1,12,1,0.0
2021,1,12,2,0.0
2021,1,12,3,0.0
2021,1,12,4,0.0
2021,1,12,5,0.0
2021,1,12,6,0.0
2021,1,12,7,0.0
2021,1,12,8,8.97
2021,1,12,9,37.02
2021,1,12,10,48.84
2021,1,12,11,141.39
2021,1,12,12,75.28
2021,1,12,13,102.33
2021,1,12,14,52.38
2021,1,12,15,23.34
2021,1,12,16,10.25
2021,1,12,17,0.0
2021,1,12,18,0.0
2021,1,12,19,0.0
2021,1,12,20,0.0
2021,1,12,21,0.0
2021,1,12,22,0.0
2021,1,12,23,0.0
2021,1,13,0,0.0
2021,1,13,1,0.0
2021,1,13,2,0.0
2021,1,13,3,0.0
2021,1,13,4,0.0
2021,1,13,5,0.0
2021,1,13,6,0.0
2021,1,13,7,0.0
2021,1,13,8,10.45
2021,1,13,9,53.98
2021,1,13,10,90.2
2021,1,13,11,120.55
2021,1,13,12,145.56
2021,1,13,13,133.11
2021,1,13,14,96.93
2021,1,13,15,44.6
2021,1,13,16,11.27
2021,1,13,17,0.0
2021,1,13,18,0.0
2021,1,13,19,0.0
2021,1,13,20,0.0
2021,1,13,21,0.0
2021,1,13,22,0.0
2021,1,13,23,0.0
2021,1,14,0,0.0
2021,1,14,1,0.0
2021,1,14,2,0.0
2021,1,14,3,0.0
2021,1,14,4,0.0
2021,1,14,5,0.0
2021,1,14,6,0.0
2021,1,14,7,0.0
2021,1,14,8,9.59
2021,1,14,9,61.3
2021,1,14,10,124.12
2021,1,14,11,160.98
2021,1,14,12,181.73
2021,1,14,13,153.38
2021,1,14,14,121.85
2021,1,14,15,57.21
2021,1,14,16,14.95
2021,1,14,17,0.0
2021,1,14,18,0.0
2021,1,14,19,0.0
2021,1,14,20,0.0
2021,1,14,21,0.0
2021,1,14,22,0.0
2021,1,14,23,0.0
2021,1,15,0,0.0
2021,1,15,1,0.0
2021,1,15,2,0.0
2021,1,15,3,0.0
2021,1,15,4,0.0
2021,1,15,5,0.0
2021,1,15,6,0.0
2021,1,15,7,0.0
2021,1,15,8,11.31
2021,1,15,9,48.76
2021,1,15,10,104.54
2021,1,15,11,163.59
2021,1,15,12,189.92
2021,1,15,13,187.54
2021,1,15,14,137.33
2021,1,15,15,64.56
2021,1,15,16,14.56
2021,1,15,17,0.0
2021,1,15,18,0.0
2021,1,15,19,0.0
2021,1,15,20,0.0
2021,1,15,21,0.0
2021,1,15,22,0.0
2021,1,15,23,0.0
2021,1,16,0,0.0
2021,1,16,1,0.0
2021,1,16,2,0.0
2021,1,16,3,0.0
2021,1,16,4,0.0
2021,1,16,5,0.0
2021,1,16,6,0.0
2021,1,16,7,0.0
2021,1,16,8,12.06
2021,1,16,9,67.61
2021,1,16,10,178.04
2021,1,16,11,200.85
2021,1,16,12,226.76
2021,1,16,13,187.77
2021,1,16,14,142.26
2021,1,16,15,70.16
2021,1,16,16,17.4
2021,1,16,17,0.0
2021,1,16,18,0.0
2021,1,16,19,0.0
2021,1,16,20,0.0
2021,1,16,21,0.0
2021,1,16,22,0.0
2021,1,16,23,0.0
2021,1,17,0,0.0
2021,1,17,1,0.0
2021,1,17,2,0.0
2021,1,17,3,0.0
2021,1,17,4,0.0
2021,1,17,5,0.0
2021,1,17,6,0.0
2021,1,17,7,0.0
2021,1,17,8,14.97
2021,1,17,9,79.44
2021,1,17,10,117.64
2021,1,17,11,255.34
2021,1,17,12,267.02
2021,1,17,13,205.01
2021,1,17,14,118.85
2021,1,17,15,62.76
2021,1,17,16,13.97
2021,1,17,17,0.0
2021,1,17,18,0.0
2021,1,17,19,0.0
2021,1,17,20,0.0
2021,1,17,21,0.0
2021,1,17,22,0.0
2021,1,17,23,0.0
2021,1,18,0,0.0
2021,1,18,1,0.0
2021,1,18,2,0.0
2021,1,18,3,0.0
2021,1,18,4,0.0
2021,1,18,5,0.0
2021,1,18,6,0.0
2021,1,18,7,0.0
2021,1,18,8,10.88
2021,1,18,9,42.25
2021,1,18,10,90.92
2021,1,18,11,125.02
2021,1,18,12,136.63
2021,1,18,13,91.98
2021,1,18,14,66.25
2021,1,18,15,43.79
2021,1,18,16,11.3
2021,1,18,17,0.0
2021,1,18,18,0.0
2021,1,18,19,0.0
2021,1,18,20,0.0
2021,1,18,21,0.0
2021,1,18,22,0.0
2021,1,18,23,0.0
2021,1,19,0,0.0
2021,1,19,1,0.0
2021,1,19,2,0.0
2021,1,19,3,0.0
2021,1,19,4,0.0
2021,1,19,5,0.0
2021,1,19,6,0.0
2021,1,19,7,0.0
2021,1,19,8,14.28
2021,1,19,9,39.16
2021,1,19,10,70.52
2021,1,19,11,93.87
2021,1,19,12,86.51
2021,1,19,13,89.09
2021,1,19,14,69.37
2021,1,19,15,25.05
2021,1,19,16,16.11
2021,1,19,17,0.0
2021,1,19,18,0.0
2021,1,19,19,0.0
2021,1,19,20,0.0
2021,1,19,21,0.0
2021,1,19,22,0.0
2021,1,19,23,0.0
2021,1,20,0,0.0
2021,1,20,1,0.0
2021,1,20,2,0.0
2021,1,20,3,0.0
2021,1,20,4,0.0
2021,1,20,5,0.0
2021,1,20,6,0.0
2021,1,20,7,0.0
2021,1,20,8,10.06
2021,1,20,9,41.97
2021,1,20,10,41.99
2021,1,20,11,76.23
2021,1,20,12,118.16
2021,1,20,13,120.42
2021,1,20,14,79.58
2021,1,20,15,36.98
2021,1,20,16,15.54
2021,1,20,17,0.0
2021,1,20,18,0.0
2021,1,20,19,0.0
2021,1,20,20,0.0
2021,1,20,21,0.0
2021,1,20,22,0.0
2021,1,20,23,0.0
2021,1,21,0,0.0
2021,1,21,1,0.0
2021,1,21,2,0.0
2021,1,21,3,0.0
2021,1,21,4,0.0
2021,1,21,5,0.0
2021,1,21,6,0.0
2021,1,21,7,0.0
2021,1,21,8,16.25
2021,1,21,9,49.33
2021,1,21,10,111.48
2021,1,21,11,141.02
2021,1,21,12,95.94
2021,1,21,13,180.05
2021,1,21,14,145.16
2021,1,21,15,99.28
2021,1,21,16,26.48
2021,1,21,17,0.0
2021,1,21,18,0.0
2021,1,21,19,0.0
2021,1,21,20,0.0
2021,1,21,21,0.0
2021,1,21,22,0.0
2021,1,21,23,0.0
2021,1,22,0,0.0
2021,1,22,1,0.0
2021,1,22,2,0.0
2021,1,22,3,0.0
2021,1,22,4,0.0
2021,1,22,5,0.0
2021,1,22,6,0.0
2021,1,22,7,0.0
2021,1,22,8,19.93
2021,1,22,9,94.16
2021,1,22,10,195.2
2021,1,22,11,248.42
2021,1,22,12,233.04
2021,1,22,13,214.02
2021,1,22,14,162.2
2021,1,22,15,86.5
2021,1,22,16,24.13
2021,1,22,17,0.0
2021,1,22,18,0.0
2021,1,22,19,0.0
2021,1,22,20,0.0
2021,1,22,21,0.0
2021,1,22,22,0.0
2021,1,22,23,0.0
2021,1,23,0,0.0
2021,1,23,1,0.0
2021,1,23,2,0.0
2021,1,23,3,0.0
2021,1,23,4,0.0
2021,1,23,5,0.0
2021,1,23,6,0.0
2021,1,23,7,0.0
2021,1,23,8,18.02
2021,1,23,9,92.73
2021,1,23,10,199.78
2021,1,23,11,161.27
2021,1,23,12,299.69
2021,1,23,13,303.44
2021,1,23,14,253.25
2021,1,23,15,151.29
2021,1,23,16,35.44
2021,1,23,17,0.0
2021,1,23,18,0.0
2021,1,23,19,0.0
2021,1,23,20,0.0
2021,1,23,21,0.0
2021,1,23,22,0.0
2021,1,23,23,0.0
2021,1,24,0,0.0
2021,1,24,1,0.0
2021,1,24,2,0.0
2021,1,24,3,0.0
2021,1,24,4,0.0
2021,1,24,5,0.0
2021,1,24,6,0.0
2021,1,24,7,0.0
2021,1,24,8,14.74
2021,1,24,9,73.67
2021,1,24,10,148.16
2021,1,24,11,203.53
2021,1,24,12,241.58
2021,1,24,13,185.33
2021,1,24,14,139.58
2021,1,24,15,72.52
2021,1,24,16,21.88
2021,1,24,17,0.0
2021,1,24,18,0.0
2021,1,24,19,0.0
2021,1,24,20,0.0
2021,1,24,21,0.0
2021,1,24,22,0.0
2021,1,24,23,0.0
2021,1,25,0,0.0
2021,1,25,1,0.0
2021,1,25,2,0.0
2021,1,25,3,0.0
2021,1,25,4,0.0
