-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  54.5   Longitude -0.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 57.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2021,1,1,0,0.0
2021,1,1,1,0.0
2021,1,1,2,0.0
2021,1,1,3,0.0
2021,1,1,4,0.0
2021,1,1,5,0.0
2021,1,1,6,0.0
2021,1,1,7,0.0
2021,1,1,8,0.0
2021,1,1,9,42.68
2021,1,1,10,67.55
2021,1,1,11,97.4
2021,1,1,12,114.38
2021,1,1,13,90.82
2021,1,1,14,51.8
2021,1,1,15,14.24
2021,1,1,16,0.0
2021,1,1,17,0.0
2021,1,1,18,0.0
2021,1,1,19,0.0
2021,1,1,20,0.0
2021,1,1,21,0.0
2021,1,1,22,0.0
2021,1,1,23,0.0
2021,1,2,0,0.0
2021,1,2,1,0.0
2021,1,2,2,0.0
2021,1,2,3,0.0
2021,1,2,4,0.0
2021,1,2,5,0.0
2021,1,2,6,0.0
2021,1,2,7,0.0
2021,1,2,8,0.0
2021,1,2,9,40.12
2021,1,2,10,47.78
2021,1,2,11,71.45
2021,1,2,12,81.47
2021,1,2,13,64.71
2021,1,2,14,43.3
2021,1,2,15,13.07
2021,1,2,16,0.0
2021,1,2,17,0.0
2021,1,2,18,0.0
2021,1,2,19,0.0
2021,1,2,20,0.0
2021,1,2,21,0.0
2021,1,2,22,0.0
2021,1,2,23,0.0
2021,1,3,0,0.0
2021,1,3,1,0.0
2021,1,3,2,0.0
2021,1,3,3,0.0
2021,1,3,4,0.0
2021,1,3,5,0.0
2021,1,3,6,0.0
2021,1,3,7,0.0
2021,1,3,8,0.0
2021,1,3,9,47.54
2021,1,3,10,87.8
2021,1,3,11,95.09
2021,1,3,12,121.15
2021,1,3,13,100.85
2021,1,3,14,58.88
2021,1,3,15,15.61
2021,1,3,16,0.0
2021,1,3,17,0.0
2021,1,3,18,0.0
2021,1,3,19,0.0
2021,1,3,20,0.0
2021,1,3,21,0.0
2021,1,3,22,0.0
2021,1,3,23,0.0
2021,1,4,0,0.0
2021,1,4,1,0.0
2021,1,4,2,0.0
2021,1,4,3,0.0
2021,1,4,4,0.0
2021,1,4,5,0.0
2021,1,4,6,0.0
2021,1,4,7,0.0
2021,1,4,8,6.23
2021,1,4,9,35.81
2021,1,4,10,64.31
2021,1,4,11,109.64
2021,1,4,12,119.51
2021,1,4,13,91.63
2021,1,4,14,52.47
2021,1,4,15,12.16
2021,1,4,16,0.0
2021,1,4,17,0.0
2021,1,4,18,0.0
2021,1,4,19,0.0
2021,1,4,20,0.0
2021,1,4,21,0.0
2021,1,4,22,0.0
2021,1,4,23,0.0
2021,1,5,0,0.0
2021,1,5,1,0.0
2021,1,5,2,0.0
2021,1,5,3,0.0
2021,1,5,4,0.0
2021,1,5,5,0.0
2021,1,5,6,0.0
2021,1,5,7,0.0
2021,1,5,8,5.98
2021,1,5,9,40.44
2021,1,5,10,94.18
2021,1,5,11,126.05
2021,1,5,12,129.38
2021,1,5,13,101.4
2021,1,5,14,51.49
2021,1,5,15,15.09
2021,1,5,16,0.0
2021,1,5,17,0.0
2021,1,5,18,0.0
2021,1,5,19,0.0
2021,1,5,20,0.0
2021,1,5,21,0.0
2021,1,5,22,0.0
2021,1,5,23,0.0
2021,1,6,0,0.0
2021,1,6,1,0.0
2021,1,6,2,0.0
2021,1,6,3,0.0
2021,1,6,4,0.0
2021,1,6,5,0.0
2021,1,6,6,0.0
2021,1,6,7,0.0
2021,1,6,8,6.91
2021,1,6,9,43.35
2021,1,6,10,90.88
2021,1,6,11,113.05
2021,1,6,12,142.96
2021,1,6,13,110.8
2021,1,6,14,69.49
2021,1,6,15,20.06
2021,1,6,16,0.0
2021,1,6,17,0.0
2021,1,6,18,0.0
2021,1,6,19,0.0
2021,1,6,20,0.0
2021,1,6,21,0.0
2021,1,6,22,0.0
2021,1,6,23,0.0
2021,1,7,0,0.0
2021,1,7,1,0.0
2021,1,7,2,0.0
2021,1,7,3,0.0
2021,1,7,4,0.0
2021,1,7,5,0.0
2021,1,7,6,0.0
2021,1,7,7,0.0
2021,1,7,8,7.14
2021,1,7,9,44.39
2021,1,7,10,93.02
2021,1,7,11,127.27
2021,1,7,12,123.31
2021,1,7,13,104.8
2021,1,7,14,61.77
2021,1,7,15,17.17
2021,1,7,16,0.0
2021,1,7,17,0.0
2021,1,7,18,0.0
2021,1,7,19,0.0
2021,1,7,20,0.0
2021,1,7,21,0.0
2021,1,7,22,0.0
2021,1,7,23,0.0
2021,1,8,0,0.0
2021,1,8,1,0.0
2021,1,8,2,0.0
2021,1,8,3,0.0
2021,1,8,4,0.0
2021,1,8,5,0.0
2021,1,8,6,0.0
2021,1,8,7,0.0
2021,1,8,8,4.95
2021,1,8,9,27.91
2021,1,8,10,70.22
2021,1,8,11,37.52
2021,1,8,12,98.0
2021,1,8,13,69.94
2021,1,8,14,43.35
2021,1,8,15,18.57
2021,1,8,16,0.0
2021,1,8,17,0.0
2021,1,8,18,0.0
2021,1,8,19,0.0
2021,1,8,20,0.0
2021,1,8,21,0.0
2021,1,8,22,0.0
2021,1,8,23,0.0
2021,1,9,0,0.0
2021,1,9,1,0.0
2021,1,9,2,0.0
2021,1,9,3,0.0
2021,1,9,4,0.0
2021,1,9,5,0.0
2021,1,9,6,0.0
2021,1,9,7,0.0
2021,1,9,8,8.01
2021,1,9,9,57.83
2021,1,9,10,150.95
2021,1,9,11,199.64
2021,1,9,12,173.58
2021,1,9,13,142.95
2021,1,9,14,71.73
2021,1,9,15,24.59
2021,1,9,16,0.0
2021,1,9,17,0.0
2021,1,9,18,0.0
2021,1,9,19,0.0
2021,1,9,20,0.0
2021,1,9,21,0.0
2021,1,9,22,0.0
2021,1,9,23,0.0
2021,1,10,0,0.0
2021,1,10,1,0.0
2021,1,10,2,0.0
2021,1,10,3,0.0
2021,1,10,4,0.0
2021,1,10,5,0.0
2021,1,10,6,0.0
2021,1,10,7,0.0
2021,1,10,8,6.07
2021,1,10,9,37.21
2021,1,10,10,86.53
2021,1,10,11,107.39
2021,1,10,12,117.88
2021,1,10,13,72.1
2021,1,10,14,44.23
2021,1,10,15,20.71
2021,1,10,16,0.0
2021,1,10,17,0.0
2021,1,10,18,0.0
2021,1,10,19,0.0
2021,1,10,20,0.0
2021,1,10,21,0.0
2021,1,10,22,0.0
2021,1,10,23,0.0
2021,1,11,0,0.0
2021,1,11,1,0.0
2021,1,11,2,0.0
2021,1,11,3,0.0
2021,1,11,4,0.0
2021,1,11,5,0.0
2021,1,11,6,0.0
2021,1,11,7,0.0
2021,1,11,8,5.38
2021,1,11,9,32.77
2021,1,11,10,59.09
2021,1,11,11,59.62
2021,1,11,12,62.9
2021,1,11,13,53.02
2021,1,11,14,17.97
2021,1,11,15,17.95
2021,1,11,16,0.0
2021,1,11,17,0.0
2021,1,11,18,0.0
2021,1,11,19,0.0
2021,1,11,20,0.0
2021,1,11,21,0.0
2021,1,11,22,0.0
2021,1,11,23,0.0
2021,1,12,0,0.0
2021,1,12,1,0.0
2021,1,12,2,0.0
2021,1,12,3,0.0
2021,1,12,4,0.0
2021,1,12,5,0.0
2021,1,12,6,0.0
2021,1,12,7,0.0
2021,1,12,8,9.53
2021,1,12,9,67.8
2021,1,12,10,147.36
2021,1,12,11,126.45
2021,1,12,12,208.27
2021,1,12,13,177.59
2021,1,12,14,112.43
2021,1,12,15,37.16
2021,1,12,16,0.0
2021,1,12,17,0.0
2021,1,12,18,0.0
2021,1,12,19,0.0
2021,1,12,20,0.0
2021,1,12,21,0.0
2021,1,12,22,0.0
2021,1,12,23,0.0
2021,1,13,0,0.0
2021,1,13,1,0.0
2021,1,13,2,0.0
2021,1,13,3,0.0
2021,1,13,4,0.0
2021,1,13,5,0.0
2021,1,13,6,0.0
2021,1,13,7,0.0
2021,1,13,8,8.37
2021,1,13,9,46.58
2021,1,13,10,64.48
2021,1,13,11,103.92
2021,1,13,12,73.07
2021,1,13,13,60.63
2021,1,13,14,30.5
2021,1,13,15,18.34
2021,1,13,16,0.0
2021,1,13,17,0.0
2021,1,13,18,0.0
2021,1,13,19,0.0
2021,1,13,20,0.0
2021,1,13,21,0.0
2021,1,13,22,0.0
2021,1,13,23,0.0
2021,1,14,0,0.0
2021,1,14,1,0.0
2021,1,14,2,0.0
2021,1,14,3,0.0
2021,1,14,4,0.0
2021,1,14,5,0.0
2021,1,14,6,0.0
2021,1,14,7,0.0
2021,1,14,8,6.63
2021,1,14,9,32.97
2021,1,14,10,101.98
2021,1,14,11,39.28
2021,1,14,12,61.14
2021,1,14,13,36.1
2021,1,14,14,49.52
2021,1,14,15,18.66
2021,1,14,16,0.0
2021,1,14,17,0.0
2021,1,14,18,0.0
2021,1,14,19,0.0
2021,1,14,20,0.0
2021,1,14,21,0.0
2021,1,14,22,0.0
2021,1,14,23,0.0
2021,1,15,0,0.0
2021,1,15,1,0.0
2021,1,15,2,0.0
2021,1,15,3,0.0
2021,1,15,4,0.0
2021,1,15,5,0.0
2021,1,15,6,0.0
2021,1,15,7,0.0
2021,1,15,8,8.18
2021,1,15,9,54.85
2021,1,15,10,128.86
2021,1,15,11,155.29
2021,1,15,12,175.19
2021,1,15,13,130.16
2021,1,15,14,104.22
2021,1,15,15,38.31
2021,1,15,16,0.0
2021,1,15,17,0.0
2021,1,15,18,0.0
2021,1,15,19,0.0
2021,1,15,20,0.0
2021,1,15,21,0.0
2021,1,15,22,0.0
2021,1,15,23,0.0
2021,1,16,0,0.0
2021,1,16,1,0.0
2021,1,16,2,0.0
2021,1,16,3,0.0
2021,1,16,4,0.0
2021,1,16,5,0.0
2021,1,16,6,0.0
2021,1,16,7,0.0
2021,1,16,8,7.9
2021,1,16,9,52.12
2021,1,16,10,122.38
2021,1,16,11,139.13
2021,1,16,12,174.55
2021,1,16,13,156.48
2021,1,16,14,124.32
2021,1,16,15,47.77
2021,1,16,16,0.0
2021,1,16,17,0.0
2021,1,16,18,0.0
2021,1,16,19,0.0
2021,1,16,20,0.0
2021,1,16,21,0.0
2021,1,16,22,0.0
2021,1,16,23,0.0
2021,1,17,0,0.0
2021,1,17,1,0.0
2021,1,17,2,0.0
2021,1,17,3,0.0
2021,1,17,4,0.0
2021,1,17,5,0.0
2021,1,17,6,0.0
2021,1,17,7,0.0
2021,1,17,8,9.85
2021,1,17,9,64.91
2021,1,17,10,107.59
2021,1,17,11,161.38
2021,1,17,12,165.56
2021,1,17,13,142.91
2021,1,17,14,75.69
2021,1,17,15,27.34
2021,1,17,16,0.0
2021,1,17,17,0.0
2021,1,17,18,0.0
2021,1,17,19,0.0
2021,1,17,20,0.0
2021,1,17,21,0.0
2021,1,17,22,0.0
2021,1,17,23,0.0
2021,1,18,0,0.0
2021,1,18,1,0.0
2021,1,18,2,0.0
2021,1,18,3,0.0
2021,1,18,4,0.0
2021,1,18,5,0.0
2021,1,18,6,0.0
2021,1,18,7,0.0
2021,1,18,8,10.46
2021,1,18,9,52.92
2021,1,18,10,123.41
2021,1,18,11,160.02
2021,1,18,12,159.48
2021,1,18,13,145.16
2021,1,18,14,96.27
2021,1,18,15,34.45
2021,1,18,16,0.0
2021,1,18,17,0.0
2021,1,18,18,0.0
2021,1,18,19,0.0
2021,1,18,20,0.0
2021,1,18,21,0.0
2021,1,18,22,0.0
2021,1,18,23,0.0
2021,1,19,0,0.0
2021,1,19,1,0.0
2021,1,19,2,0.0
2021,1,19,3,0.0
2021,1,19,4,0.0
2021,1,19,5,0.0
2021,1,19,6,0.0
2021,1,19,7,0.0
2021,1,19,8,8.02
2021,1,19,9,35.52
2021,1,19,10,30.41
2021,1,19,11,33.05
2021,1,19,12,54.16
2021,1,19,13,38.95
2021,1,19,14,22.68
2021,1,19,15,23.88
2021,1,19,16,0.0
2021,1,19,17,0.0
2021,1,19,18,0.0
2021,1,19,19,0.0
2021,1,19,20,0.0
2021,1,19,21,0.0
2021,1,19,22,0.0
2021,1,19,23,0.0
2021,1,20,0,0.0
2021,1,20,1,0.0
2021,1,20,2,0.0
2021,1,20,3,0.0
2021,1,20,4,0.0
2021,1,20,5,0.0
2021,1,20,6,0.0
2021,1,20,7,0.0
2021,1,20,8,9.48
2021,1,20,9,34.22
2021,1,20,10,42.24
2021,1,20,11,140.45
2021,1,20,12,67.12
2021,1,20,13,41.56
2021,1,20,14,29.59
2021,1,20,15,26.02
2021,1,20,16,0.0
2021,1,20,17,0.0
2021,1,20,18,0.0
2021,1,20,19,0.0
2021,1,20,20,0.0
2021,1,20,21,0.0
2021,1,20,22,0.0
2021,1,20,23,0.0
2021,1,21,0,0.0
2021,1,21,1,0.0
2021,1,21,2,0.0
2021,1,21,3,0.0
2021,1,21,4,0.0
2021,1,21,5,0.0
2021,1,21,6,0.0
2021,1,21,7,0.0
2021,1,21,8,11.13
2021,1,21,9,60.77
2021,1,21,10,119.6
2021,1,21,11,153.58
2021,1,21,12,157.03
2021,1,21,13,164.12
2021,1,21,14,117.62
2021,1,21,15,54.78
2021,1,21,16,0.0
2021,1,21,17,0.0
2021,1,21,18,0.0
2021,1,21,19,0.0
2021,1,21,20,0.0
2021,1,21,21,0.0
2021,1,21,22,0.0
2021,1,21,23,0.0
2021,1,22,0,0.0
2021,1,22,1,0.0
2021,1,22,2,0.0
2021,1,22,3,0.0
2021,1,22,4,0.0
2021,1,22,5,0.0
2021,1,22,6,0.0
2021,1,22,7,0.0
2021,1,22,8,16.34
2021,1,22,9,85.58
2021,1,22,10,187.58
2021,1,22,11,246.94
2021,1,22,12,263.08
2021,1,22,13,231.38
2021,1,22,14,157.92
2021,1,22,15,72.27
2021,1,22,16,0.0
2021,1,22,17,0.0
2021,1,22,18,0.0
2021,1,22,19,0.0
2021,1,22,20,0.0
2021,1,22,21,0.0
2021,1,22,22,0.0
2021,1,22,23,0.0
2021,1,23,0,0.0
2021,1,23,1,0.0
2021,1,23,2,0.0
2021,1,23,3,0.0
2021,1,23,4,0.0
2021,1,23,5,0.0
2021,1,23,6,0.0
2021,1,23,7,0.0
2021,1,23,8,14.44
2021,1,23,9,63.83
2021,1,23,10,137.44
2021,1,23,11,146.91
2021,1,23,12,210.13
2021,1,23,13,194.76
2021,1,23,14,149.41
2021,1,23,15,64.98
2021,1,23,16,0.0
2021,1,23,17,0.0
2021,1,23,18,0.0
2021,1,23,19,0.0
2021,1,23,20,0.0
2021,1,23,21,0.0
2021,1,23,22,0.0
2021,1,23,23,0.0
2021,1,24,0,0.0
2021,1,24,1,0.0
2021,1,24,2,0.0
2021,1,24,3,0.0
2021,1,24,4,0.0
2021,1,24,5,0.0
2021,1,24,6,0.0
2021,1,24,7,0.0
2021,1,24,8,17.2
2021,1,24,9,82.61
2021,1,24,10,171.58
2021,1,24,11,229.5
2021,1,24,12,252.02
2021,1,24,13,228.73
2021,1,24,14,165.59
2021,1,24,15,77.7
2021,1,24,16,0.0
2021,1,24,17,0.0
2021,1,24,18,0.0
2021,1,24,19,0.0
2021,1,24,20,0.0
2021,1,24,21,0.0
2021,1,24,22,0.0
2021,1,24,23,0.0
2021,1,25,0,0.0
2021,1,25,1,0.0
2021,1,25,2,0.0
2021,1,25,3,0.0
2021,1,25,4,0.0
