-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  52.5   Longitude 0.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 31.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2021,1,1,0,0.0
2021,1,1,1,0.0
2021,1,1,2,0.0
2021,1,1,3,0.0
2021,1,1,4,0.0
2021,1,1,5,0.0
2021,1,1,6,0.0
2021,1,1,7,0.0
2021,1,1,8,15.16
2021,1,1,9,89.55
2021,1,1,10,88.03
2021,1,1,11,118.16
2021,1,1,12,112.05
2021,1,1,13,97.13
2021,1,1,14,58.1
2021,1,1,15,21.09
2021,1,1,16,0.0
2021,1,1,17,0.0
2021,1,1,18,0.0
2021,1,1,19,0.0
2021,1,1,20,0.0
2021,1,1,21,0.0
2021,1,1,22,0.0
2021,1,1,23,0.0
2021,1,2,0,0.0
2021,1,2,1,0.0
2021,1,2,2,0.0
2021,1,2,3,0.0
2021,1,2,4,0.0
2021,1,2,5,0.0
2021,1,2,6,0.0
2021,1,2,7,0.0
2021,1,2,8,18.77
2021,1,2,9,99.62
2021,1,2,10,153.06
2021,1,2,11,173.39
2021,1,2,12,173.48
2021,1,2,13,133.14
2021,1,2,14,83.8
2021,1,2,15,21.98
2021,1,2,16,0.0
2021,1,2,17,0.0
2021,1,2,18,0.0
2021,1,2,19,0.0
2021,1,2,20,0.0
2021,1,2,21,0.0
2021,1,2,22,0.0
2021,1,2,23,0.0
2021,1,3,0,0.0
2021,1,3,1,0.0
2021,1,3,2,0.0
2021,1,3,3,0.0
2021,1,3,4,0.0
2021,1,3,5,0.0
2021,1,3,6,0.0
2021,1,3,7,0.0
2021,1,3,8,18.35
2021,1,3,9,93.39
2021,1,3,10,111.48
2021,1,3,11,138.6
2021,1,3,12,130.91
2021,1,3,13,113.65
2021,1,3,14,67.66
2021,1,3,15,18.7
2021,1,3,16,0.0
2021,1,3,17,0.0
2021,1,3,18,0.0
2021,1,3,19,0.0
2021,1,3,20,0.0
2021,1,3,21,0.0
2021,1,3,22,0.0
2021,1,3,23,0.0
2021,1,4,0,0.0
2021,1,4,1,0.0
2021,1,4,2,0.0
2021,1,4,3,0.0
2021,1,4,4,0.0
2021,1,4,5,0.0
2021,1,4,6,0.0
2021,1,4,7,0.0
2021,1,4,8,14.12
2021,1,4,9,70.55
2021,1,4,10,121.95
2021,1,4,11,141.81
2021,1,4,12,139.25
2021,1,4,13,107.97
2021,1,4,14,68.53
2021,1,4,15,24.69
2021,1,4,16,0.0
2021,1,4,17,0.0
2021,1,4,18,0.0
2021,1,4,19,0.0
2021,1,4,20,0.0
2021,1,4,21,0.0
2021,1,4,22,0.0
2021,1,4,23,0.0
2021,1,5,0,0.0
2021,1,5,1,0.0
2021,1,5,2,0.0
2021,1,5,3,0.0
2021,1,5,4,0.0
2021,1,5,5,0.0
2021,1,5,6,0.0
2021,1,5,7,0.0
2021,1,5,8,13.41
2021,1,5,9,65.65
2021,1,5,10,95.68
2021,1,5,11,111.66
2021,1,5,12,106.12
2021,1,5,13,94.33
2021,1,5,14,55.91
2021,1,5,15,19.7
2021,1,5,16,0.0
2021,1,5,17,0.0
2021,1,5,18,0.0
2021,1,5,19,0.0
2021,1,5,20,0.0
2021,1,5,21,0.0
2021,1,5,22,0.0
2021,1,5,23,0.0
2021,1,6,0,0.0
2021,1,6,1,0.0
2021,1,6,2,0.0
2021,1,6,3,0.0
2021,1,6,4,0.0
2021,1,6,5,0.0
2021,1,6,6,0.0
2021,1,6,7,0.0
2021,1,6,8,12.5
2021,1,6,9,50.08
2021,1,6,10,113.7
2021,1,6,11,131.04
2021,1,6,12,142.88
2021,1,6,13,115.05
2021,1,6,14,71.18
2021,1,6,15,25.11
2021,1,6,16,0.0
2021,1,6,17,0.0
2021,1,6,18,0.0
2021,1,6,19,0.0
2021,1,6,20,0.0
2021,1,6,21,0.0
2021,1,6,22,0.0
2021,1,6,23,0.0
2021,1,7,0,0.0
2021,1,7,1,0.0
2021,1,7,2,0.0
2021,1,7,3,0.0
2021,1,7,4,0.0
2021,1,7,5,0.0
2021,1,7,6,0.0
2021,1,7,7,0.0
2021,1,7,8,13.73
2021,1,7,9,52.41
2021,1,7,10,80.64
2021,1,7,11,159.03
2021,1,7,12,179.83
2021,1,7,13,152.52
2021,1,7,14,95.05
2021,1,7,15,28.27
2021,1,7,16,0.0
2021,1,7,17,0.0
2021,1,7,18,0.0
2021,1,7,19,0.0
2021,1,7,20,0.0
2021,1,7,21,0.0
2021,1,7,22,0.0
2021,1,7,23,0.0
2021,1,8,0,0.0
2021,1,8,1,0.0
2021,1,8,2,0.0
2021,1,8,3,0.0
2021,1,8,4,0.0
2021,1,8,5,0.0
2021,1,8,6,0.0
2021,1,8,7,0.0
2021,1,8,8,15.56
2021,1,8,9,70.88
2021,1,8,10,88.12
2021,1,8,11,108.12
2021,1,8,12,110.81
2021,1,8,13,99.82
2021,1,8,14,72.43
2021,1,8,15,29.71
2021,1,8,16,0.0
2021,1,8,17,0.0
2021,1,8,18,0.0
2021,1,8,19,0.0
2021,1,8,20,0.0
2021,1,8,21,0.0
2021,1,8,22,0.0
2021,1,8,23,0.0
2021,1,9,0,0.0
2021,1,9,1,0.0
2021,1,9,2,0.0
2021,1,9,3,0.0
2021,1,9,4,0.0
2021,1,9,5,0.0
2021,1,9,6,0.0
2021,1,9,7,0.0
2021,1,9,8,24.74
2021,1,9,9,118.61
2021,1,9,10,186.95
2021,1,9,11,198.06
2021,1,9,12,216.47
2021,1,9,13,166.52
2021,1,9,14,122.36
2021,1,9,15,40.57
2021,1,9,16,0.0
2021,1,9,17,0.0
2021,1,9,18,0.0
2021,1,9,19,0.0
2021,1,9,20,0.0
2021,1,9,21,0.0
2021,1,9,22,0.0
2021,1,9,23,0.0
2021,1,10,0,0.0
2021,1,10,1,0.0
2021,1,10,2,0.0
2021,1,10,3,0.0
2021,1,10,4,0.0
2021,1,10,5,0.0
2021,1,10,6,0.0
2021,1,10,7,0.0
2021,1,10,8,23.66
2021,1,10,9,83.38
2021,1,10,10,125.55
2021,1,10,11,156.56
2021,1,10,12,132.75
2021,1,10,13,143.95
2021,1,10,14,99.66
2021,1,10,15,34.8
2021,1,10,16,0.0
2021,1,10,17,0.0
2021,1,10,18,0.0
2021,1,10,19,0.0
2021,1,10,20,0.0
2021,1,10,21,0.0
2021,1,10,22,0.0
2021,1,10,23,0.0
2021,1,11,0,0.0
2021,1,11,1,0.0
2021,1,11,2,0.0
2021,1,11,3,0.0
2021,1,11,4,0.0
2021,1,11,5,0.0
2021,1,11,6,0.0
2021,1,11,7,0.0
2021,1,11,8,18.12
2021,1,11,9,56.44
2021,1,11,10,79.98
2021,1,11,11,118.87
2021,1,11,12,164.66
2021,1,11,13,122.91
2021,1,11,14,67.76
2021,1,11,15,22.43
2021,1,11,16,0.0
2021,1,11,17,0.0
2021,1,11,18,0.0
2021,1,11,19,0.0
2021,1,11,20,0.0
2021,1,11,21,0.0
2021,1,11,22,0.0
2021,1,11,23,0.0
2021,1,12,0,0.0
2021,1,12,1,0.0
2021,1,12,2,0.0
2021,1,12,3,0.0
2021,1,12,4,0.0
2021,1,12,5,0.0
2021,1,12,6,0.0
2021,1,12,7,0.0
2021,1,12,8,26.16
2021,1,12,9,103.91
2021,1,12,10,148.98
2021,1,12,11,143.59
2021,1,12,12,233.87
2021,1,12,13,207.88
2021,1,12,14,141.07
2021,1,12,15,47.5
2021,1,12,16,0.0
2021,1,12,17,0.0
2021,1,12,18,0.0
2021,1,12,19,0.0
2021,1,12,20,0.0
2021,1,12,21,0.0
2021,1,12,22,0.0
2021,1,12,23,0.0
2021,1,13,0,0.0
2021,1,13,1,0.0
2021,1,13,2,0.0
2021,1,13,3,0.0
2021,1,13,4,0.0
2021,1,13,5,0.0
2021,1,13,6,0.0
2021,1,13,7,0.0
2021,1,13,8,24.03
2021,1,13,9,97.48
2021,1,13,10,124.17
2021,1,13,11,154.68
2021,1,13,12,119.75
2021,1,13,13,98.56
2021,1,13,14,55.41
2021,1,13,15,23.01
2021,1,13,16,0.0
2021,1,13,17,0.0
2021,1,13,18,0.0
2021,1,13,19,0.0
2021,1,13,20,0.0
2021,1,13,21,0.0
2021,1,13,22,0.0
2021,1,13,23,0.0
2021,1,14,0,0.0
2021,1,14,1,0.0
2021,1,14,2,0.0
2021,1,14,3,0.0
2021,1,14,4,0.0
2021,1,14,5,0.0
2021,1,14,6,0.0
2021,1,14,7,0.0
2021,1,14,8,17.91
2021,1,14,9,44.69
2021,1,14,10,123.31
2021,1,14,11,47.96
2021,1,14,12,36.8
2021,1,14,13,83.8
2021,1,14,14,55.06
2021,1,14,15,21.78
2021,1,14,16,0.0
2021,1,14,17,0.0
2021,1,14,18,0.0
2021,1,14,19,0.0
2021,1,14,20,0.0
2021,1,14,21,0.0
2021,1,14,22,0.0
2021,1,14,23,0.0
2021,1,15,0,0.0
2021,1,15,1,0.0
2021,1,15,2,0.0
2021,1,15,3,0.0
2021,1,15,4,0.0
2021,1,15,5,0.0
2021,1,15,6,0.0
2021,1,15,7,0.0
2021,1,15,8,19.66
2021,1,15,9,45.55
2021,1,15,10,80.75
2021,1,15,11,108.15
2021,1,15,12,115.54
2021,1,15,13,97.85
2021,1,15,14,69.09
2021,1,15,15,38.22
2021,1,15,16,0.0
2021,1,15,17,0.0
2021,1,15,18,0.0
2021,1,15,19,0.0
2021,1,15,20,0.0
2021,1,15,21,0.0
2021,1,15,22,0.0
2021,1,15,23,0.0
2021,1,16,0,0.0
2021,1,16,1,0.0
2021,1,16,2,0.0
2021,1,16,3,0.0
2021,1,16,4,0.0
2021,1,16,5,0.0
2021,1,16,6,0.0
2021,1,16,7,0.0
2021,1,16,8,13.32
2021,1,16,9,8.55
2021,1,16,10,66.85
2021,1,16,11,73.64
2021,1,16,12,94.6
2021,1,16,13,102.48
2021,1,16,14,63.43
2021,1,16,15,34.7
2021,1,16,16,0.0
2021,1,16,17,0.0
2021,1,16,18,0.0
2021,1,16,19,0.0
2021,1,16,20,0.0
2021,1,16,21,0.0
2021,1,16,22,0.0
2021,1,16,23,0.0
2021,1,17,0,0.0
2021,1,17,1,0.0
2021,1,17,2,0.0
2021,1,17,3,0.0
2021,1,17,4,0.0
2021,1,17,5,0.0
2021,1,17,6,0.0
2021,1,17,7,0.0
2021,1,17,8,34.0
2021,1,17,9,130.41
2021,1,17,10,217.17
2021,1,17,11,250.3
2021,1,17,12,224.3
2021,1,17,13,191.16
2021,1,17,14,122.9
2021,1,17,15,41.31
2021,1,17,16,0.0
2021,1,17,17,0.0
2021,1,17,18,0.0
2021,1,17,19,0.0
2021,1,17,20,0.0
2021,1,17,21,0.0
2021,1,17,22,0.0
2021,1,17,23,0.0
2021,1,18,0,0.0
2021,1,18,1,0.0
2021,1,18,2,0.0
2021,1,18,3,0.0
2021,1,18,4,0.0
2021,1,18,5,0.0
2021,1,18,6,0.0
2021,1,18,7,0.0
2021,1,18,8,29.73
2021,1,18,9,77.22
2021,1,18,10,132.27
2021,1,18,11,147.37
2021,1,18,12,153.69
2021,1,18,13,116.13
2021,1,18,14,76.5
2021,1,18,15,31.94
2021,1,18,16,0.0
2021,1,18,17,0.0
2021,1,18,18,0.0
2021,1,18,19,0.0
2021,1,18,20,0.0
2021,1,18,21,0.0
2021,1,18,22,0.0
2021,1,18,23,0.0
2021,1,19,0,0.0
2021,1,19,1,0.0
2021,1,19,2,0.0
2021,1,19,3,0.0
2021,1,19,4,0.0
2021,1,19,5,0.0
2021,1,19,6,0.0
2021,1,19,7,0.0
2021,1,19,8,19.97
2021,1,19,9,65.13
2021,1,19,10,94.48
2021,1,19,11,135.93
2021,1,19,12,164.49
2021,1,19,13,70.66
2021,1,19,14,47.28
2021,1,19,15,28.42
2021,1,19,16,0.0
2021,1,19,17,0.0
2021,1,19,18,0.0
2021,1,19,19,0.0
2021,1,19,20,0.0
2021,1,19,21,0.0
2021,1,19,22,0.0
2021,1,19,23,0.0
2021,1,20,0,0.0
2021,1,20,1,0.0
2021,1,20,2,0.0
2021,1,20,3,0.0
2021,1,20,4,0.0
2021,1,20,5,0.0
2021,1,20,6,0.0
2021,1,20,7,0.0
2021,1,20,8,21.23
2021,1,20,9,52.23
2021,1,20,10,43.76
2021,1,20,11,158.54
2021,1,20,12,70.16
2021,1,20,13,47.67
2021,1,20,14,31.3
2021,1,20,15,30.73
2021,1,20,16,0.0
2021,1,20,17,0.0
2021,1,20,18,0.0
2021,1,20,19,0.0
2021,1,20,20,0.0
2021,1,20,21,0.0
2021,1,20,22,0.0
2021,1,20,23,0.0
2021,1,21,0,0.0
2021,1,21,1,0.0
2021,1,21,2,0.0
2021,1,21,3,0.0
2021,1,21,4,0.0
2021,1,21,5,0.0
2021,1,21,6,0.0
2021,1,21,7,0.0
2021,1,21,8,38.98
2021,1,21,9,123.45
2021,1,21,10,199.72
2021,1,21,11,255.26
2021,1,21,12,259.93
2021,1,21,13,198.36
2021,1,21,14,138.6
2021,1,21,15,51.68
2021,1,21,16,0.0
2021,1,21,17,0.0
2021,1,21,18,0.0
2021,1,21,19,0.0
2021,1,21,20,0.0
2021,1,21,21,0.0
2021,1,21,22,0.0
2021,1,21,23,0.0
2021,1,22,0,0.0
2021,1,22,1,0.0
2021,1,22,2,0.0
2021,1,22,3,0.0
2021,1,22,4,0.0
2021,1,22,5,0.0
2021,1,22,6,0.0
2021,1,22,7,0.0
2021,1,22,8,46.44
2021,1,22,9,155.25
2021,1,22,10,247.68
2021,1,22,11,302.48
2021,1,22,12,310.21
2021,1,22,13,264.81
2021,1,22,14,184.38
2021,1,22,15,82.3
2021,1,22,16,0.0
2021,1,22,17,0.0
2021,1,22,18,0.0
2021,1,22,19,0.0
2021,1,22,20,0.0
2021,1,22,21,0.0
2021,1,22,22,0.0
2021,1,22,23,0.0
2021,1,23,0,0.0
2021,1,23,1,0.0
2021,1,23,2,0.0
2021,1,23,3,0.0
2021,1,23,4,0.0
2021,1,23,5,0.0
2021,1,23,6,0.0
2021,1,23,7,0.0
2021,1,23,8,36.99
2021,1,23,9,58.28
2021,1,23,10,107.58
2021,1,23,11,166.2
2021,1,23,12,127.66
2021,1,23,13,114.38
2021,1,23,14,79.24
2021,1,23,15,38.52
2021,1,23,16,0.0
2021,1,23,17,0.0
2021,1,23,18,0.0
2021,1,23,19,0.0
2021,1,23,20,0.0
2021,1,23,21,0.0
2021,1,23,22,0.0
2021,1,23,23,0.0
2021,1,24,0,0.0
2021,1,24,1,0.0
2021,1,24,2,0.0
2021,1,24,3,0.0
2021,1,24,4,0.0
2021,1,24,5,0.0
2021,1,24,6,0.0
2021,1,24,7,0.0
2021,1,24,8,26.7
2021,1,24,9,24.19
2021,1,24,10,62.29
2021,1,24,11,124.43
2021,1,24,12,114.55
2021,1,24,13,105.6
2021,1,24,14,63.24
2021,1,24,15,27.17
2021,1,24,16,6.68
2021,1,24,17,0.0
2021,1,24,18,0.0
2021,1,24,19,0.0
2021,1,24,20,0.0
2021,1,24,21,0.0
2021,1,24,22,0.0
2021,1,24,23,0.0
2021,1,25,0,0.0
2021,1,25,1,0.0
2021,1,25,2,0.0
2021,1,25,3,0.0
2021,1,25,4,0.0
