-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  52.5   Longitude -3.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 255.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M
2021,1,1,0,1.94
2021,1,1,1,1.89
2021,1,1,2,2.07
2021,1,1,3,2.27
2021,1,1,4,2.55
2021,1,1,5,2.86
2021,1,1,6,3.04
2021,1,1,7,2.94
2021,1,1,8,2.96
2021,1,1,9,3.0
2021,1,1,10,3.19
2021,1,1,11,3.56
2021,1,1,12,3.64
2021,1,1,13,3.51
2021,1,1,14,3.27
2021,1,1,15,3.08
2021,1,1,16,3.25
2021,1,1,17,3.26
2021,1,1,18,3.27
2021,1,1,19,3.18
2021,1,1,20,3.06
2021,1,1,21,3.06
2021,1,1,22,3.09
2021,1,1,23,3.11
2021,1,2,0,3.07
2021,1,2,1,2.99
2021,1,2,2,2.99
2021,1,2,3,3.0
2021,1,2,4,2.98
2021,1,2,5,2.99
2021,1,2,6,3.1
2021,1,2,7,3.04
2021,1,2,8,2.99
2021,1,2,9,2.69
2021,1,2,10,2.48
2021,1,2,11,2.62
2021,1,2,12,2.79
2021,1,2,13,3.1
2021,1,2,14,3.07
2021,1,2,15,3.18
2021,1,2,16,3.34
2021,1,2,17,3.47
2021,1,2,18,3.59
2021,1,2,19,4.05
2021,1,2,20,4.35
2021,1,2,21,4.34
2021,1,2,22,4.38
2021,1,2,23,4.63
2021,1,3,0,4.79
2021,1,3,1,5.06
2021,1,3,2,5.28
2021,1,3,3,5.26
2021,1,3,4,5.43
2021,1,3,5,5.54
2021,1,3,6,5.34
2021,1,3,7,5.0
2021,1,3,8,5.16
2021,1,3,9,5.22
2021,1,3,10,4.96
2021,1,3,11,4.86
2021,1,3,12,4.93
2021,1,3,13,4.8
2021,1,3,14,4.39
2021,1,3,15,4.03
2021,1,3,16,4.36
2021,1,3,17,4.67
2021,1,3,18,4.85
2021,1,3,19,5.39
2021,1,3,20,5.6
2021,1,3,21,5.68
2021,1,3,22,5.88
2021,1,3,23,5.67
2021,1,4,0,4.99
2021,1,4,1,5.11
2021,1,4,2,5.28
2021,1,4,3,5.31
2021,1,4,4,5.51
2021,1,4,5,5.53
2021,1,4,6,5.4
2021,1,4,7,5.89
2021,1,4,8,5.72
2021,1,4,9,5.83
2021,1,4,10,5.97
2021,1,4,11,6.51
2021,1,4,12,6.71
2021,1,4,13,6.67
2021,1,4,14,6.64
2021,1,4,15,6.53
2021,1,4,16,6.45
2021,1,4,17,6.41
2021,1,4,18,6.42
2021,1,4,19,6.44
2021,1,4,20,5.95
2021,1,4,21,5.98
2021,1,4,22,6.31
2021,1,4,23,6.25
2021,1,5,0,6.11
2021,1,5,1,6.15
2021,1,5,2,5.73
2021,1,5,3,5.59
2021,1,5,4,5.99
